1,0.32374,0.41319,1.457,470.79,2
2,0.38232,0.67959,1.219,468.9,2
3,0.2239,0.38402,1.7102,470.64,2
4,0.53529,0.56285,1.3451,464.49,2
5,0.54935,0.40791,1.1068,477.94,2
6,0.28246,0.17649,2.0273,465.13,2
7,0.3623,0.28514,1.5211,465.26,2
8,0.3761,0.28825,1.4644,468.98,2
9,0.32464,0.37009,2.0204,454.04,2
10,0.32298,0.32746,2.0394,445.4,2
11,0.41826,0.45,1.4964,466.34,2
12,0.3514,0.25455,1.3041,473.31,2
13,0.36187,0.24421,1.4287,467.43,2
14,0.4357,0.34566,1.3362,474.72,2
15,0.53086,0.31184,1.0648,479.28,2
16,0.44549,0.42727,1.4617,450.65,2
17,0.40103,0.32038,1.6165,462.25,2
18,0.30491,0.33878,2.13,447.51,2
19,0.34811,0.5787,1.6677,454.96,2
20,0.53172,0.24583,1.8374,452.17,2
