1,2.401e-10,0.024206,7.1112,486.68,1
2,0.38025,0.19595,1.2187,481.31,2
3,0.46385,0.17107,1.4987,466.71,2
4,0.42979,0.01408,1.351,485.81,2
5,0.32708,0.26749,1.2024,480.89,2
6,0.52278,0.21798,1.1667,477.99,2
7,0.5248,0.21719,0.84853,484.6,2
8,0.27222,3.839e-10,1.3527,490.08,1
9,0.45987,0.29245,0.77346,489.74,2
10,0.19807,0.32556,1.2083,484.55,2
11,0.31963,0.42325,1.138,483.38,2
12,0.23683,0.2231,1.3718,478.36,2
13,0.28455,0.42087,0.84807,489.81,2
14,0.17903,0.18559,2.6236,457.63,2
15,0.17402,0.20618,1.7764,478.93,2
16,0.39373,0.40419,1.163,475.99,2
17,0.44894,0.57007,0.93795,483.68,2
18,0.44655,0.49361,1.1717,473.76,2
19,0.28642,0.3318,1.5876,477.3,2
20,0.19505,0.39077,1.509,479.14,2
21,0.23195,0.35832,1.6916,456.94,2
22,0.26388,0.66285,0.84741,487.39,2
23,0.25738,0.38754,1.1643,482.03,2
24,0.030042,0.17974,3.1057,468.84,2
25,0.25402,0.087543,2.2055,472.37,2
26,0.46001,0.6479,0.96143,479.86,2
27,0.1275,0.075943,2.0634,486.23,2
28,0.20943,0.41605,1.2932,482.3,2
29,0.13581,0.34639,1.1508,487.69,2
30,0.21109,0.23147,1.5423,474.74,2
31,0.33333,0.30416,1.1226,480.05,2
32,0.38802,0.56581,1.0663,480.13,2
33,0.48544,0.23257,1.1218,479.91,2
34,0.13117,0.22721,1.5944,482.18,2
35,0.28411,0.16696,1.31,486.35,2
36,0.17512,0.16845,1.9115,480.76,2
37,0.33396,0.20981,1.3887,473.21,2
38,0.25917,0.25664,1.3907,482.69,2
39,0.21292,0.19167,1.6051,475.56,2
40,0.22734,0.16713,1.6542,477.96,2
41,0.27555,0.46509,1.1211,481.6,2
42,0.28746,0.34606,0.90904,490.04,2
43,0.25483,0.44491,1.2531,476.42,2
44,0.20182,0.19308,1.644,479.13,2
45,0.18915,0.28522,1.4229,485.72,2
46,0.18898,0.45308,1.2734,481.51,2
47,0.44555,0.25103,1.0258,482.24,2
48,0.34062,0.5088,0.94995,487.58,2
49,0.62361,0.48106,0.9936,476.1,2
50,0.23042,0.70692,0.7841,485.7,2
