1,0.35405,2.0514,473.35,2
2,0.40375,2.343,456.69,2
3,2.2538e-09,-7.9889,499.07,1
4,6.2026e-09,-11.955,499.07,1
5,4.7729e-09,-11.333,499.07,1
6,2.2671e-11,-8.6438,499.07,1
7,0.27643,2.7737,456.73,2
8,0.71057,2.053,454.7,2
9,5.4026e-07,-11.752,499.07,1
10,6.5195e-09,-13.688,499.07,1
11,2.7633e-09,-10.924,499.07,1
12,0.25935,2.6921,460.61,2
13,4.221e-09,-12.258,499.07,1
14,2.7253e-09,-11.162,499.07,1
15,0.00025762,-11.904,499.05,2
16,6.676e-09,-10.41,499.07,1
17,0.27848,2.2844,473.45,2
18,6.0499e-08,-11.709,499.07,1
19,0.38668,1.9008,475.61,2
20,7.1389e-10,-11.443,499.07,1
21,1.2547e-09,-10.523,499.07,1
22,1.9902e-09,-11.338,499.07,1
23,2.4096e-09,-11.783,499.07,1
24,5.2086e-09,-12.437,499.07,1
25,0.26097,2.5856,462.95,2
26,0.13482,4.6836,430.8,2
27,0.57263,1.3978,478.5,2
28,2.4103e-09,-12.507,499.07,2
29,9.3776e-06,-780.1,498.85,2
30,3.6809e-09,-11.38,499.07,1
31,1.5256e-09,-11.403,499.07,1
32,2.228e-09,-13.304,499.07,1
33,0.62524,1.2881,479.34,2
34,1.3188e-09,-16.538,499.07,1
35,1.8142e-09,-12.196,499.07,1
36,1.1397e-09,-12.095,499.07,1
37,2.9462e-11,-11.179,499.07,1
38,0.11651,2.1092,480.72,2
39,0.20266,3.0952,457.68,2
40,0.72854,2.2207,448.13,2
41,0.65997,1.7235,473.68,2
42,9.7522e-08,-14.813,499.07,1
43,3.2971e-09,-10.071,499.07,1
44,3.0969e-09,-14.55,499.07,1
45,1.7122e-07,-11.198,499.07,1
46,8.0942e-08,-12.662,499.07,1
47,0.00082034,-14.528,498.83,2
48,7.0433e-10,-11.186,499.07,1
49,0.35005,1.8557,475.06,2
50,4.602e-09,-9.2963,499.07,1
